"","x"
"1",2433
"2",1825
"3",1800
"4",1887
"5",1940
"6",2233
"7",1880
"8",1793
"9",1689
"10",1975
"11",1710
"12",1872
"13",2092
"14",2048
"15",1769
"16",1887
"17",1996
"18",1903
"19",1894
"20",2185
"21",1982
"22",1631
"23",1789
"24",2194
"25",1985
"26",2064
"27",2150
"28",2041
"29",1965
"30",1780
"31",1878
"32",2272
"33",1839
"34",2150
"35",1942
"36",2166
"37",1805
"38",2121
"39",2243
"40",2031
"41",1976
"42",2045
"43",1958
"44",1846
"45",2218
"46",2161
"47",1870
"48",1802
"49",1764
"50",2025
"51",1942
"52",2213
"53",1815
"54",1992
"55",2051
"56",1851
"57",2055
"58",2053
"59",1793
"60",1934
"61",2156
"62",1825
"63",1779
"64",2057
"65",2110
"66",1802
"67",1756
"68",2254
"69",2380
"70",2375
"71",1848
"72",1966
"73",1981
"74",2216
"75",2805
"76",3417
"77",2022
"78",2370
"79",3178
"80",1952
"81",1895
"82",1870
"83",1801
"84",2106
"85",1887
"86",2020
"87",1961
"88",1924
"89",1836
"90",1934
"91",2094
"92",2531
"93",3349
"94",1760
"95",2449
"96",2288
"97",1389
"98",1499
"99",1424
"100",1458
"101",789
